the_geom,cartodb_id,dt_start,dt_end,fishfry_uuid
,2775,2017-03-10 16:00:00+00,2017-03-11 00:00:00+00,16
,2776,2017-03-31 15:00:00+00,2017-03-31 23:00:00+00,16
,2777,2017-04-07 15:00:00+00,2017-04-07 23:00:00+00,16
,2778,2017-03-24 15:00:00+00,2017-03-24 23:00:00+00,16
,2779,2017-03-01 16:00:00+00,2017-03-02 00:00:00+00,16
,2780,2017-03-01 16:30:00+00,2017-03-02 00:00:00+00,1f97d448-129c-4771-830a-13794b16e05b
,2781,2017-04-07 15:30:00+00,2017-04-07 23:00:00+00,1f97d448-129c-4771-830a-13794b16e05b
,2782,2017-03-24 15:30:00+00,2017-03-24 23:00:00+00,1f97d448-129c-4771-830a-13794b16e05b
,2783,2017-04-14 19:00:00+00,2017-04-14 23:00:00+00,1f97d448-129c-4771-830a-13794b16e05b
,2784,2017-03-10 16:30:00+00,2017-03-11 00:00:00+00,1f97d448-129c-4771-830a-13794b16e05b
,2785,2017-03-17 15:30:00+00,2017-03-17 23:00:00+00,1f97d448-129c-4771-830a-13794b16e05b
,2786,2017-03-03 16:30:00+00,2017-03-04 00:00:00+00,1f97d448-129c-4771-830a-13794b16e05b
,2787,2017-03-31 15:30:00+00,2017-03-31 23:00:00+00,1f97d448-129c-4771-830a-13794b16e05b
,4244,2017-03-24 15:30:00+00,2017-03-24 23:00:00+00,19
,4245,2017-03-03 16:30:00+00,2017-03-04 00:00:00+00,19
,4246,2017-03-01 16:30:00+00,2017-03-02 00:00:00+00,19
,4247,2017-04-07 15:30:00+00,2017-04-07 23:00:00+00,19
,2796,2017-03-10 21:00:00+00,2017-03-11 00:00:00+00,12
,2797,2017-03-24 15:00:00+00,2017-03-24 17:00:00+00,12
,2798,2017-03-10 16:00:00+00,2017-03-10 18:00:00+00,12
,2799,2017-03-03 21:00:00+00,2017-03-04 00:00:00+00,12
,2800,2017-03-17 15:00:00+00,2017-03-17 17:00:00+00,12
,2801,2017-03-01 21:00:00+00,2017-03-02 00:00:00+00,12
,2802,2017-03-24 20:00:00+00,2017-03-24 23:00:00+00,12
,2803,2017-04-07 20:00:00+00,2017-04-07 23:00:00+00,12
,2804,2017-03-31 15:00:00+00,2017-03-31 17:00:00+00,12
,2805,2017-03-03 16:00:00+00,2017-03-03 18:00:00+00,12
,2806,2017-03-17 20:00:00+00,2017-03-17 23:00:00+00,12
,2807,2017-03-01 16:00:00+00,2017-03-01 18:00:00+00,12
,2808,2017-03-31 20:00:00+00,2017-03-31 23:00:00+00,12
,2809,2017-04-07 15:00:00+00,2017-04-07 17:00:00+00,12
,4248,2017-03-31 15:30:00+00,2017-03-31 23:00:00+00,19
,4249,2017-03-10 16:30:00+00,2017-03-11 00:00:00+00,19
,4250,2017-04-14 20:00:00+00,2017-04-14 23:00:00+00,19
,4251,2017-03-17 15:00:00+00,2017-03-17 22:00:00+00,31
,4252,2017-03-24 15:00:00+00,2017-03-24 22:00:00+00,31
,4253,2017-03-01 16:00:00+00,2017-03-01 23:00:00+00,31
,4254,2017-03-03 16:00:00+00,2017-03-03 23:00:00+00,31
,4255,2017-03-10 16:00:00+00,2017-03-10 23:00:00+00,31
,4256,2017-03-31 15:00:00+00,2017-03-31 22:00:00+00,31
,4257,2017-04-07 15:00:00+00,2017-04-07 22:00:00+00,31
